kB	Ordner
528	/www/htdocs/w0103090/captcha_files
28	/www/htdocs/w0103090/css
12	/www/htdocs/w0103090/cgi-bin/sysinfo
16	/www/htdocs/w0103090/cgi-bin
8	/www/htdocs/w0103090/upload
896	/www/htdocs/w0103090
172	/var/lib/mysql/d016d337
420	/var/spool/mail/m029d1d2
128	/home/popuser/m029d1d2/mail/.imap/Sent
76	/home/popuser/m029d1d2/mail/.imap/INBOX
8	/home/popuser/m029d1d2/mail/.imap/Trash
24	/home/popuser/m029d1d2/mail/.imap/Drafts
248	/home/popuser/m029d1d2/mail/.imap
13132	/home/popuser/m029d1d2/mail
13144	/home/popuser/m029d1d2
72	/var/spool/mail/m02a4ee1
8	/home/popuser/m02a4ee1/mail/.imap/Junk
32	/home/popuser/m02a4ee1/mail/.imap/Sent
32	/home/popuser/m02a4ee1/mail/.imap/INBOX
28	/home/popuser/m02a4ee1/mail/.imap/Trash
8	/home/popuser/m02a4ee1/mail/.imap/Drafts
8	/home/popuser/m02a4ee1/mail/.imap/Gesendet
96	/home/popuser/m02a4ee1/mail/.imap/Bearbeitet
216	/home/popuser/m02a4ee1/mail/.imap
732	/home/popuser/m02a4ee1/mail
744	/home/popuser/m02a4ee1
